Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.28857421875,24.75732849998861,23.8486999145076,24.746219903871868,212818400
2015-01-05,23.604333877563477,24.137514464137663,23.41772160447641,24.057537291404817,257142000
2015-01-06,23.60655403137207,23.866478974309715,23.244434724352086,23.66875811738099,263188400
2015-01-07,23.93756675720215,24.037537355708736,23.70429976744142,23.815378963530524,160423600
2015-01-08,24.8573055267334,24.915067190627752,24.148619623170898,24.266365009745527,237458000
2015-01-09,24.88396453857422,25.1594404985909,24.48407871360307,25.03058821110751,214798000
2015-01-12,24.27080535888672,25.021700145626117,24.170834756205902,25.015035664771943,198603200
2015-01-13,24.486297607421875,25.059466650818983,24.19527066376859,24.755109051433546,268367600
2015-01-14,24.39299774169922,24.546285914954115,24.104191087561126,24.224156850283055,195826400
2015-01-15,23.730953216552734,24.450745745540832,23.69540876440859,24.437416787853476,240056000
2015-01-16,23.54656982421875,23.89980258382863,23.371064473774545,23.777614778160455,314053200
2015-01-20,24.153066635131836,24.20860624689587,23.659874611477722,23.9575661169644,199599600
2015-01-21,24.33746337890625,24.67292148012699,24.0530990865422,24.204166928293347,194303600
2015-01-22,24.970611572265625,24.986162596873307,24.375226823817112,24.495192597191203,215185600
2015-01-23,25.099462509155273,25.270523770445585,24.777331738637265,24.948394694862046,185859200
2015-01-26,25.126117706298828,25.406037798361062,25.059471195287816,25.268298963710123,222460000
2015-01-27,24.24637222290039,24.9883823005039,24.221934658687033,24.975051641429268,382274800
2015-01-28,25.617090225219727,26.241356619791915,25.617090225219727,26.13249775937213,585908400
2015-01-29,26.414634704589844,26.47906084545902,25.672624750212208,25.84146561266473,337745600
2015-01-30,26.0280818939209,26.659011007530673,25.959211629596137,26.30355786641712,334982000
2015-02-02,26.35465431213379,26.474620069416556,25.788151324610777,26.225803709068003,250956400
2015-02-03,26.35909652709961,26.45684507806537,26.128051569930538,26.32577242554878,207662800
2015-02-04,26.561260223388672,26.772311739909934,26.283562197650888,26.325772839941987,280598800
2015-02-05,26.75084686279297,26.815527285699677,26.59695200478653,26.76868838851386,168984800
2015-02-06,26.52558708190918,26.819993596357236,26.418529394098876,26.768694730992582,174826400
2015-02-09,26.701772689819336,26.728535823049864,26.414057096227165,26.44082193108112,155559200
2015-02-10,27.21475601196289,27.24375167876704,26.79991208020324,26.80214120716999,248034000
2015-02-11,27.85263442993164,27.861556041891518,27.321811280495048,27.382030034194866,294247200
2015-02-12,28.205032348632812,28.432529214905024,28.00653114859303,28.11581792463633,297898000
2015-02-13,28.34331512451172,28.387921486223178,28.024374703566266,28.387921486223178,217088800
2015-02-17,28.51059341430664,28.74478108280103,28.307630541395007,28.43476055244586,252609600
2015-02-18,28.70909309387207,28.72247466222771,28.4258374184376,28.465983825128166,179566800
2015-02-19,28.648866653442383,28.778227459292257,28.622103522317094,28.655557436223706,149449600
2015-02-20,28.883060455322266,28.883060455322266,28.55966007295847,28.686788376316457,195793600
2015-02-23,29.6636905670166,29.6636905670166,28.918753590609413,28.999046423010963,283896400
2015-02-24,29.478557586669922,29.797499644872435,29.255522419876705,29.650295618009736,276912400
2015-02-25,28.724699020385742,29.351430728053582,28.5819566428779,29.342507415133056,298846800
2015-02-26,29.08824920654297,29.18861436185984,28.238485673214807,28.724700756115052,365150000
2015-02-27,28.65110206604004,29.121706454075337,28.602034051875457,28.994574761945206,248059200
2015-03-02,28.791616439819336,29.057028902654466,28.61542010912278,28.827302892674766,192386800
2015-03-03,28.85183334350586,28.887519791957846,28.56857768919465,28.76262062562293,151265200
2015-03-04,28.668943405151367,28.89644026439813,28.61987879163452,28.79384597716231,126665200
2015-03-05,28.193878173828125,28.71577968293683,28.04890496520124,28.67786411038587,226068400
